index,barcode,tracking number,timestamp
1000,9622001900008961720200888850091192,888850091192,2026-02-18 09:39:34
1001,9622001900008961720200888852300578,888852300578,2026-02-18 09:39:37
1002,9622001900008961720200888855245731,888855245731,2026-02-18 09:39:40
1003,9622001900008961720200888622416343,888622416343,2026-02-18 09:39:42
1004,9632001960772185359000501464092460,501464092460,2026-02-18 09:39:45
1005,9622001900008961720200888874017043,888874017043,2026-02-18 09:58:25
1006,9622001900008961720200888875665986,888875665986,2026-02-18 10:24:01
1007,9622001900008961720200888881303058,888881303058,2026-02-18 12:51:08
1008,9622001900008961720200888882171306,888882171306,2026-02-18 12:53:53
1009,9622001900008961720200888884021275,888884021275,2026-02-18 13:36:43
1010,9632001960772185359000510302274518,510302274518,2026-02-18 14:26:35
1011,9632001960772185359000510302275260,510302275260,2026-02-18 15:22:49
1012,9622001900008961720200888888501673,888888501673,2026-02-18 15:22:50
1013,SHIPPED,SHIPPED,2026-02-19 08:48:26
1014,9622001900008961720200888908153815,888908153815,2026-02-19 14:03:11
1015,9622001900008961720200888919816449,888919816449,2026-02-19 14:44:33
1016,9622001900008961720200888921657101,888921657101,2026-02-19 15:33:43
1017,9622001900008961720200888939883492,888939883492,2026-02-20 09:29:34
1018,SHIPPED,SHIPPED,2026-02-23 12:24:56
1019,9632001960772185359000514034485226,514034485226,2026-02-23 13:55:50
1020,9622001900008961720200889004522055,889004522055,2026-02-23 14:37:03
1021,9622001900008961720200889006767298,889006767298,2026-02-23 15:28:53
1022,9622001900008961720200889028671329,889028671329,2026-02-24 09:04:20
1023,9632001960772185359000514034520769,514034520769,2026-02-24 09:04:22
1024,9622001900008961720200888888132568,888888132568,2026-02-24 11:21:09
1025,9632001960772185359000514034516229,514034516229,2026-02-24 11:21:10
1026,9622001900008961720200889034655556,889034655556,2026-02-24 11:21:14
1027,9622001900008961720200889038445533,889038445533,2026-02-24 12:58:15
1028,9622001900008961720200889041240521,889041240521,2026-02-24 14:18:51
1029,9622001900008961720200889044023280,889044023280,2026-02-24 15:02:05
1030,9622001900008961720200889045688831,889045688831,2026-02-24 15:40:10
1031,SHIPPED,SHIPPED,2026-02-25 08:13:39
1032,9622001900008961720200889066358953,889066358953,2026-02-25 09:00:06
1033,9632001960772185359000514034485204,514034485204,2026-02-25 12:11:31
1034,9622001900008961720200889069240958,889069240958,2026-02-25 12:11:32
1035,9622001900008961720200889078887854,889078887854,2026-02-25 15:08:04
1036,9622001900008961720200889078854808,889078854808,2026-02-25 15:08:05
1037,9632001960772185359000514034484263,514034484263,2026-02-25 15:08:08
